Site_ID,Name,Hierarchy,Primary_Typology,Secondary_Typology,Specific_Use,Site_Access,Site_Owner,Whole_Part,Site_Area_Ha,Ward
62,Victoria Embankment,Destination,Parks and Gardens,Provision for Children and Young People,Paddling Pool,Freely accessible to public,Nottingham City Council,Part of larger site,0.2454,Meadows
2401,Elliott Durham School,,Outdoor Sports Facility,,Football,No public access,,Part of larger site,1.995,Mapperley
93,Hempshill Lane Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.9917,Bulwell
266,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Cricket,Freely accessible to public,,Part of larger site,1.9537,Bilborough
2391,Clifton Village Cricket Club,,Outdoor Sports Facility,,Cricket,No access information,Notts Trent Uni,Part of larger site,1.9018,Clifton West
148,Bilborough Park,City,Parks and Gardens,Outdoor Sports Facility,Athletics,Freely accessible to public: opening hours,,Part of larger site,1.8684,Bilborough
2479,Wollaton Sports Association Cricket Pitch,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.7815,Wollaton West
2467,Wollaton Sports Association Football Pitch,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,1.7815,Wollaton West
2412,Highfields Sports Club,,Outdoor Sports Facility,,Synthetic Turf Pitch,No access information,,Part of larger site,1.5583,Lenton & Wollaton East
174,Stockhill Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.5459,Basford
265,Birchover Recreation Ground,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,1.3224,Bilborough
2387,Bulwell Mill Cricket Club,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.2432,Sherwood
2455,Grove Farm,,Provision for Children and Young People,,Surfaced Areas and Ball Courts,No public access,,Part of larger site,1.2377,Lenton & Wollaton East
2419,Meridian Cricket Ground,,Outdoor Sports Facility,,Cricket,No access information,,Part of larger site,1.1508,Berridge
2383,"Boots Tennis Club, County Ground",,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,1.1023,Castle
2414,Highfields Sports Pitches,,Outdoor Sports Facility,,LAC,No access information,,Part of larger site,0.9731,Lenton & Wollaton East
20,Forest Recreation Ground,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,Nottingham City Council,Part of larger site,0.9192,Hyson Green & Arboretum
2481,Springhead Woodland LWS,,Natural and Semi Natural,,Woodland,Not Accessible,Unknown,Part of larger site,0.8444,Bulwell
449,Southglade Park,City,Parks and Gardens,Outdoor Sports Facility,Synthetic Turf Pitch,Freely accessible to public,,Part of larger site,0.77,Bulwell Forest
2386,Bulwell Hall Golf Course,,Outdoor Sports Facility,,Golf Course,No access information,,Part of larger site,51.1601,Bulwell
2384,Bull Forest Golf Course,,Outdoor Sports Facility,,Golf Course,No access information,,Part of larger site,30.7469,Bulwell Forest
60,Victoria Embankment,Destination,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,18.5201,Meadows
2406,Grove Farm,,Outdoor Sports Facility,,Football,No public access,,Part of larger site,13.9011,Lenton & Wollaton East
453,Southglade Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,13.8236,Bulwell Forest
101,Clifton Playing Fields,,Outdoor Sports Facility,,Football,Freely accessible to public: opening hours,,Part of larger site,13.3438,Clifton East
211,Melbourne Park,Neighbourhood,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,12.4643,Leen Valley
26,Forest Recreation Ground,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,8.2574,Hyson Green & Arboretum
109,Mill Street,Local,Outdoor Sports Facility,,Playing Fields,Restricted access: members/tenants only,Nottingham City Council,Part of larger site,6.8681,Basford
2422,Nottingham Tennis Centre,,Outdoor Sports Facility,,Tennis Courts,No access information,,Part of larger site,6.7403,Lenton & Wollaton East
543,Bulwell Hall Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public,,Part of larger site,5.9685,Bulwell
157,Woodthorpe Grange Park,City,Parks and Gardens,Outdoor Sports Facility,Golf Course,Freely accessible to public,,Part of larger site,5.5843,Sherwood
147,Bilborough Park,City,Parks and Gardens,Outdoor Sports Facility,Football,Freely accessible to public: opening hours,,Part of larger site,5.5004,Bilborough
2436,Top Valley School,,Outdoor Sports Facility,,Football,No access information,,Part of larger site,5.0839,Bulwell Forest
